id,id_kategori,kbli_2_digit_deskripsi,nama_variabel,tahun,jumlah
387,559,JUMLAH,Mikro,2018,3998337.0
388,559,JUMLAH,Kecil,2018,265710.0
389,559,Makanan,Mikro,2019,1544780.0
390,559,Makanan,Kecil,2019,42239.0
391,559,Minuman,Kecil,2019,1019.0
392,559,Minuman,Mikro,2019,97882.0
393,559,Pengolahan Tembakau,Mikro,2019,102026.0
394,559,Pengolahan Tembakau,Kecil,2019,103858.0
395,559,Tekstil,Kecil,2019,7335.0
396,559,Tekstil,Mikro,2019,288819.0
397,559,Pakaian Jadi,Mikro,2019,586412.0
398,559,Pakaian Jadi,Kecil,2019,27256.0
399,559,Kulit Barang dari Kulit dan Alas Kaki,Mikro,2019,51014.0
400,559,Kulit Barang dari Kulit dan Alas Kaki,Kecil,2019,6308.0
401,559,Kayu Barang dari Kayu dan Gabus (Tidak Termasuk Furnitur) dan Barang Anyaman dari Bambu Rotan dan sejenisnya,Kecil,2019,10414.0
402,559,Kayu Barang dari Kayu dan Gabus (Tidak Termasuk Furnitur) dan Barang Anyaman dari Bambu Rotan dan sejenisnya,Mikro,2019,648012.0
403,559,Kertas dan Barang dari Kertas,Mikro,2019,8709.0
